,name,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,calculated_host_listings_count,availability_365
0,Private Lg Room 15 min to Manhattan,Iris,Queens,Sunnyside,40.74271,-73.92493,Private room,74,2,6,2019-05-26,1,5
1,"TIME SQUARE CHARMING ONE BED IN HELL'S KITCHEN,NYC",Johlex,Manhattan,Hell's Kitchen,40.76682,-73.98878,Entire home/apt,170,3,0,,1,188
2,Voted #1 Location Quintessential 1BR W Village Apt,John,Manhattan,West Village,40.73631,-74.00610999999999,Entire home/apt,245,3,51,2018-09-19,1,0
3,Spacious 1 bedroom apartment 15min from Manhattan,Regan,Queens,Astoria,40.76424,-73.92351,Entire home/apt,125,3,1,2019-05-24,1,13
4,Big beautiful bedroom in huge Bushwick apartment,Megan,Brooklyn,Bushwick,40.69839,-73.92044,Private room,65,2,8,2019-06-23,2,8
5,LRG 2br BKLYN APT CLOSE TO TRAINS AND PARK,Jenny,Brooklyn,Prospect-Lefferts Gardens,40.66025,-73.9627,Entire home/apt,120,3,3,2018-08-28,1,16
6,✩Prime Renovated 1/1 Apartment in Upper East Side✩,Sean,Manhattan,Upper East Side,40.76831,-73.95929,Entire home/apt,200,5,2,2019-05-26,1,71
7,Fully renovated brick house floor in Brooklyn,Kevin,Brooklyn,Sunset Park,40.6455,-74.01262,Entire home/apt,95,1,9,2019-07-08,1,106
8,"Renovated 1BR in exciting, convenient area",Chad,Manhattan,Chinatown,40.7149,-73.99976,Entire home/apt,179,5,7,2017-04-18,1,0
9,Beautiful Loft w/ Waterfront View!,Anthony,Brooklyn,Williamsburg,40.71268,-73.96676,Private room,105,2,232,2019-06-19,3,64
10,Forest Hills Charming 1 bdrm apartment!,Sasha,Queens,Forest Hills,40.72085,-73.84088,Entire home/apt,75,1,0,,1,7
11,Private bedroom and bathroom near Prospect Park,Suzzanne,Brooklyn,Flatbush,40.65274,-73.95848000000001,Private room,39,2,7,2017-09-29,1,0
12,Sunny Room in Old Historical Brooklyn Townhouse,Obed,Brooklyn,Fort Greene,40.69101,-73.97312,Private room,44,8,27,2019-06-29,5,280
13,"Huge Yellow Room- AC, 20 Min to Manhattan",Cristina And Sasha,Brooklyn,Bushwick,40.69891,-73.93072,Private room,45,1,158,2019-06-25,2,201
14,Dominiques NYC 4Bedrm crashpad**Stay here**metro,Vie,Bronx,Eastchester,40.88207,-73.83538,Entire home/apt,299,2,2,2019-05-21,13,358
15,Sunny East Village Bedroom,Noah,Manhattan,East Village,40.72393,-73.98271,Private room,100,1,0,,1,0
16,Exquisite Park Slope Paradise,Jake,Brooklyn,Windsor Terrace,40.65863,-73.98495,Entire home/apt,300,3,0,,1,335
17,Cozy Brownstone Brooklyn Studio Near Subway!!,Daniel,Brooklyn,Boerum Hill,40.6876,-73.98472,Entire home/apt,160,4,4,2018-09-26,1,14
18,"5min from JFK airport, Train, Casino,  Racetrack",Doris,Queens,South Ozone Park,40.669540000000005,-73.80601,Entire home/apt,93,2,48,2019-06-22,1,316
19,"Bilevel Penthouse: Park, City Views",David,Brooklyn,Greenpoint,40.72074,-73.94740999999999,Entire home/apt,272,3,3,2015-08-31,1,0
20,THE STUDIO LODGE NYC,Víctor,Brooklyn,Bedford-Stuyvesant,40.68087,-73.92061,Private room,60,3,3,2019-06-30,2,322
21,Private Room with Private Bathroom in Harlem,Siobhan,Manhattan,East Harlem,40.80604,-73.94233,Private room,85,3,97,2019-06-24,2,14
22,Bohemian East Village Apartment,Brian,Manhattan,East Village,40.72837,-73.98546,Entire home/apt,250,4,17,2019-05-28,1,5
23,Brooklyn Style Hostel RM4 #1,Melissa,Brooklyn,Bedford-Stuyvesant,40.69322,-73.95519,Shared room,36,3,12,2019-06-19,34,361
24,Stylish Share With Exposed Brick In Brooklyn,Eden,Brooklyn,Bedford-Stuyvesant,40.68936,-73.94189,Private room,33,14,1,2017-07-16,1,0
25,LARGE BEDROOM CLOSE TO MANHATTAN,Lolita,Queens,Astoria,40.76801,-73.92501,Private room,55,1,78,2019-06-20,9,311
26,Spacious 2 BDR - Hell's Kitchen/Times Square,Sy,Manhattan,Hell's Kitchen,40.76284,-73.98849,Entire home/apt,130,4,2,2017-11-30,1,0
27,Upper West Side Central Park apartment,Tal,Manhattan,Upper West Side,40.77244,-73.98043,Entire home/apt,190,7,0,,1,0
28,Master Bedroom in Harlem - 20 min to Midtown!,Andrea,Manhattan,Harlem,40.827740000000006,-73.94609,Private room,60,1,1,2018-01-01,1,0
29,Brooklyn apartment 20 min to Manhattan,Christopher,Brooklyn,Park Slope,40.67174,-73.98616,Private room,63,30,17,2018-09-01,1,73
30,Crown Heights Duplex Apt.,Martha,Brooklyn,Crown Heights,40.67567,-73.93744000000001,Entire home/apt,158,4,61,2019-05-31,1,264
31,Dominiques Homesharing  room NYC* metro*quiet*safe,Vie,Bronx,Eastchester,40.88009,-73.83456,Private room,68,2,0,,13,364
32,Beautiful apartment in Greenpoint,Malu,Brooklyn,Greenpoint,40.72791,-73.95689,Entire home/apt,150,5,1,2018-06-20,1,0
33,"Sunny, Cozy, Private Room In The Heart of Bushwick",Dylana,Brooklyn,Bushwick,40.69906,-73.92430999999999,Private room,40,2,96,2019-06-24,3,78
34,Dumbo Penthouse Loft with Outdoor Spaces & Views,Adam,Brooklyn,Vinegar Hill,40.70369,-73.98306,Entire home/apt,186,30,1,2019-06-11,1,1
35,SJU大学,Peng,Queens,Flushing,40.72465,-73.80162,Shared room,30,1,0,,1,0
36,Steps from Times Square and Subway!,Serim,Manhattan,Hell's Kitchen,40.76186,-73.98850999999999,Private room,99,1,15,2019-06-16,1,0
37,Sanjay's Art Lab - Prime LES - Quintessential NYC,Sanjay,Manhattan,Lower East Side,40.71624,-73.98935,Entire home/apt,50,1,6,2018-09-28,1,0
38,Modern Williamsburg Condo near restaurants + metro,Jeff,Brooklyn,Williamsburg,40.7163,-73.94394,Entire home/apt,178,2,22,2018-10-21,1,3
39,Beautiful Elevator Bldg near Columbia University,Omar,Manhattan,Upper West Side,40.80165,-73.96497,Private room,65,1,0,,1,0
40,"Cozy big Apt, Manhattan, Columbia, Central Park",Sijia,Manhattan,Morningside Heights,40.81153,-73.96112,Shared room,34,5,0,,1,14
41,Sunny room with a Balcony in Prospect Heights,Tak,Brooklyn,Crown Heights,40.67567,-73.95779,Private room,59,2,1,2018-05-25,1,0
42,Sunny apartment,Juliana,Queens,Sunnyside,40.74597,-73.91434,Private room,55,3,26,2019-06-17,1,1
43,"Home 4 Medical Professionals- The ""Camphor""",Stat,Brooklyn,Bushwick,40.70387,-73.91665,Private room,47,30,4,2018-08-18,43,144
44,Moma Casanova. New Additions!,Ester,Queens,Sunnyside,40.74315,-73.91733,Private room,78,3,113,2019-07-01,1,285
45,1 Bdrm Apt  2 blocks to subway 15 mins to Midtown,Giovanni,Queens,Astoria,40.76788,-73.92334,Entire home/apt,100,1,102,2019-07-03,1,33
46,Large 1 BR *** Featured on This Old House,Kevin And Karen,Brooklyn,Prospect Heights,40.6774,-73.96864000000001,Entire home/apt,279,2,11,2019-07-06,1,112
47,Modern sunny one bed apt,Oisin,Manhattan,Lower East Side,40.7211,-73.98397,Entire home/apt,175,7,9,2018-12-07,1,255
48,NEW YORK CITY!!! LOCATION LOCATION!,Chris,Manhattan,Upper West Side,40.77311,-73.98606,Private room,125,3,124,2019-06-24,3,347
